YEAR,TEAM,RUNS SCORED,WICKETS LOST,WICKETS TAKEN,AGAINST,RESULT,VENUE,WINNER
,,,,,,,,
2007,WI,241,9,10,PAK,WON,JAMAICA,AUSTRALIA
,WI,204,4,5,ZIM,WON,JAMAICA,
,WI,190,2,8,IRE,WON,JAMAICA,
,WI,219,10,6,AUS,LOST,ANTIGUA,
,WI,177,10,3,NZ,LOST,ANTIGUA,
,WI,190,10,5,SL,LOST,GUYANA,
,WI,289,9,4,SA,LOST,GRENADA,
,WI,230,5,10,BAN,WON,BARBADOS,
,WI,300,10,9,ENG,LOST,BARBADOS,
,,,,,,,,
,PAK,187,10,9,WI,LOST,JAMAICA,
,PAK,132,10,7,IRE,LOST,JAMAICA,
,PAK,349,10,10,ZIM,WON,JAMAICA,
,,,,,,,,
,AUS,334,6,10,SCO,WON,ST.KITTS,
,AUS,358,5,10,NED,WON,ST.KITTS,
,AUS,377,6,10,SA,WON,ST.KITTS,
,AUS,322,6,10,WI,WON,ANTIGUA,
,AUS,106,0,6,BAN,WON,ANTIGUA,
,AUS,248,3,10,ENG,WON,ANTIGUA,
,AUS,92,1,10,IRE,WON,BARBADOS,
,AUS,232,3,10,SL,WON,GRENADA,
,AUS,348,6,10,NZ,WON,GRENADA,
,AUS,153,3,10,SA,WON,ST.LUCIA,
,AUS,281,4,8,SL,WON,BARBADOS,
,,,,,,,,
,SCO,131,10,6,AUS,LOST,ST.KITTS,
,SCO,186,8,3,SA,LOST,ST.KITTS,
,SCO,136,10,2,NED,LOST,ST.KITTS,
,,,,,,,,
,CAN,199,10,3,KEN,LOST,ST.LUCIA,
,CAN,228,7,6,ENG,LOST,ST.LUCIA,
,CAN,249,10,5,NZ,LOST,ST.LUCIA,
,,,,,,,,
,KEN,203,3,10,CAN,WON,ST.LUCIA,
,KEN,183,10,7,NZ,LOST,ST.LUCIA,
,KEN,177,10,3,ENG,LOST,ST.LUCIA,
,,,,,,,,
,BER,78,10,6,SL,LOST,TRINIDAD,
,BER,156,10,5,IND,LOST,TRINIDAD,
,BER,94,9,3,BAN,LOST,TRINIDAD,
,,,,,,,,
,SL,321,6,10,BER,WON,TRINIDAD,
,SL,318,4,10,BAN,WON,TRINIDAD,
,SL,254,6,10,IND,WON,TRINIDAD,
,SL,209,10,9,SA,LOST,GUYANA,
,SL,303,5,10,WI,WON,GUYANA,
,SL,235,10,8,ENG,WON,ANTIGUA,
,SL,222,4,7,NZ,WON,GRENADA,
,SL,226,10,3,AUS,LOST,GRENADA,
,SL,81,2,10,IRE,WON,GRENADA,
,SL,289,5,10,NZ,WON,JAMAICA,
,SL,215,8,4,AUS,LOST,BARBADOS,
,,,,,,,,
,IRE,221,9,10,ZIM,TIE,JAMAICA,
,IRE,133,7,10,PAK,WON,JAMAICA,
,IRE,183,8,2,WI,LOST,JAMAICA,
,IRE,218,10,7,ENG,LOST,GUYANA,
,IRE,152,8,3,SA,LOST,GUYANA,
,IRE,134,10,8,NZ,LOST,GUYANA,
,IRE,91,10,1,AUS,LOST,BARBADOS,
,IRE,243,7,10,BAN,WON,BARBADOS,
,IRE,77,10,2,SL,LOST,GRENADA,
,,,,,,,,
,ZIM,221,10,9,IRE,TIE,JAMAICA,
,ZIM,202,5,4,WI,LOST,JAMAICA,
,ZIM,99,10,10,PAK,LOST,JAMAICA,
,,,,,,,,
,ENG,209,7,4,NZ,LOST,ST.LUCIA,
,ENG,279,6,7,CAN,WON,ST.LUCIA,
,ENG,178,3,10,KEN,WON,ST.LUCIA,
,ENG,266,7,10,IRE,WON,GUYANA,
,ENG,233,8,10,SL,LOST,ANTIGUA,
,ENG,247,10,3,AUS,LOST,ANTIGUA,
,ENG,147,6,10,BAN,WON,BARBADOS,
,ENG,154,10,1,SA,LOST,BARBADOS,
,ENG,301,9,10,WI,WON,BARBADOS,
,,,,,,,,
,NZ,210,4,7,ENG,WON,ST.LUCIA,
,NZ,331,7,10,KEN,WON,ST.LUCIA,
,NZ,363,5,10,CAN,WON,ST.LUCIA,
,NZ,179,3,10,WI,WON,ANTIGUA,
,NZ,178,1,10,BAN,WON,ANTIGUA,
,NZ,263,8,10,IRE,WON,GUYANA,
,NZ,219,7,4,SL,LOST,GRENADA,
,NZ,196,5,7,SA,WON,GRENADA,
,NZ,133,10,6,AUS,LOST,GRENADA,
,NZ,208,10,5,SL,LOST,JAMAICA,
,,,,,,,,
,NED,132,9,3,SA,LOST,ST.KITTS,
,NED,129,10,5,AUS,LOST,ST.KITTS,
,NED,140,2,10,SCO,WON,ST.KITTS,
,,,,,,,,
,SA,353,3,9,NED,WON,ST.KITTS,
,SA,188,3,8,SCO,WON,ST.KITTS,
,SA,294,10,6,AUS,LOST,ST.KITTS,
,SA,212,9,10,SL,WON,GUYANA,
,SA,165,3,8,IRE,WON,GUYANA,
,SA,184,10,8,BAN,LOST,GUYANA,
,SA,356,4,9,WI,WON,GRENADA,
,SA,193,7,5,NZ,LOST,GRENADA,
,SA,157,1,10,ENG,WON,BARBADOS,
,SA,149,10,3,AUS,LOST,ST.LUCIA,
,,,,,,,,
,BAN,192,5,10,IND,WON,TRINIDAD,
,BAN,112,10,4,SL,LOST,TRINIDAD,
,BAN,96,3,9,BER,WON,TRINIDAD,
,BAN,104,6,10,AUS,LOST,ANTIGUA,
,BAN,174,10,1,NZ,LOST,ANTIGUA,
,BAN,251,8,10,SA,WON,GUYANA,
,BAN,143,10,6,ENG,LOST,BARBADOS,
,BAN,169,10,7,IRE,LOST,BARBADOS,
,BAN,131,10,5,WI,LOST,BARBADOS,
,,,,,,,,
,IND,191,10,5,BAN,LOST,TRINIDAD,
,IND,413,5,10,BER,WON,TRINIDAD,
,IND,185,10,6,SL,LOST,TRINIDAD,
